0,1
[ 5.17757189  0.48327787  6.55848481 16.22400349],"                 0
count    50.000000
mean    974.006814
std       9.549369
min     966.107095
25%     967.748957
50%     970.111778
75%     977.044098
max    1008.058184"
[-8.38630802  0.83975438  3.9933036  60.43243665],"                0
count   50.000000
mean   950.231398
std     12.970597
min    920.172853
25%    945.277730
50%    951.836115
75%    956.405247
max    993.038145"
[1.6982646  0.93643662 1.48103699 2.08180477],"                0
count   50.000000
mean   540.751028
std      2.073411
min    539.355663
25%    539.532525
50%    539.826240
75%    541.140549
max    547.256525"
[ 6.55447855  0.37811988  6.06212859 15.22903131],"                0
count   50.000000
mean   248.802591
std      2.311742
min    246.771222
25%    247.194504
50%    248.185207
75%    249.544411
max    259.678727"
[-3.60315435  0.78182298  4.73086955 77.45949854],"                0
count   50.000000
mean   234.494564
std      2.120532
min    233.260801
25%    233.609922
50%    233.934070
75%    234.131866
max    244.914399"
[3.02996623 0.26880586 0.81932536 2.73763541],"                0
count   50.000000
mean   141.826592
std      0.380996
min    141.387273
25%    141.532119
50%    141.608195
75%    142.316313
max    142.490808"
